brand,product_name,slug,category,target_areas,full_ingredients,description,image_filename,product_name_ko,product_name_en,product_name_ja,country,size,usage,warnings,source_url,source_type,verified,active,image_url,review_status,auto_verified
COSRX,Low pH Good Morning Gel Cleanser,cosrx-low-ph-good-morning-gel-cleanser-150ml,foam_cleanser,face,"정제수, 코카미도프로필베타인, 소듐라우로일메틸이세티오네이트, 소듐클로라이드, 폴리솔베이트20, 때죽나무가지/열매/잎추출물, 부틸렌글라이콜, 효모발효물, 삼나무잎추출물, 연꽃잎추출물, 대왕송잎추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 칡뿌리추출물, 티트리잎오일, 알란토인, 카프릴릴글라이콜, 에틸헥실글리세린, 베타인살리실레이트, 시트릭애씨드, 에틸헥산다이올, 1,2-헥산다이올, 트라이소듐에틸렌다이아민다이석시네이트, 소듐벤조에이트, 다이소듐이디티에이",약산성 젤 클렌저. COSRX 한국 공식몰(cosrx.co.kr) 상품정보 기준.,cosrx-low-ph-good-morning-gel-cleanser-150ml.jpg,약산성 굿모닝 젤 클렌저,Low pH Good Morning Gel Cleanser,,KR,150ml,,,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=222,official_brand_kr_mall,false,false,,needs_review,false
COSRX,Full Fit Propolis Synergy Toner,cosrx-full-fit-propolis-synergy-toner-280ml,toner,face,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 프로폴리스추출물(7,645 ppm), 폴리글리세릴-10라우레이트, 판테놀, 폴리글리세릴-10미리스테이트, 꿀추출물, 에틸헥실글리세린, 소듐하이알루로네이트, 카프릴릭/카프릭트라이글리세라이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 결명씨추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 토코페롤",프로폴리스 시너지 토너. COSRX 한국 공식몰 상품정보 기준.,cosrx-full-fit-propolis-synergy-toner-280ml.jpg,풀핏 프로폴리스 시너지 토너,Full Fit Propolis Synergy Toner,,KR,280ml,,,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176488,official_brand_kr_mall,false,false,,needs_review,false
COSRX,The Niacinamide 15 Serum,cosrx-the-niacinamide-15-serum-20ml,serum,face,"정제수, 펜틸렌글라이콜, 나이아신아마이드(15%), 부틸렌글라이콜, 아세틸글루코사민, 1,2-헥산다이올, 징크피씨에이, 트레할로오스, 잔탄검, 풀루란, 알란토인, 에틸헥실글리세린, 소듐파이테이트, 시트릭애씨드, 토코페롤",나이아신아마이드 15% 세럼. COSRX 한국 공식몰 상품정보 기준.,cosrx-the-niacinamide-15-serum-20ml.jpg,더 나이아신아마이드 15 세럼,The Niacinamide 15 Serum,,KR,20ml,,,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177564,official_brand_kr_mall,false,false,,needs_review,false
COSRX,Full Fit Propolis Light Ampoule,cosrx-full-fit-propolis-light-ampoule-30ml,essence,face,"정제수, 부틸렌글라이콜, 글리세린, 베타인, 1,2-헥산다이올, 프로폴리스추출물(8,767 ppm), 소듐하이알루로네이트, 하이드록시에틸셀룰로오스, 카보머, 판테놀, 알지닌, 결명씨추출물",프로폴리스 라이트 앰플. COSRX 한국 공식몰 상품정보 기준.,cosrx-full-fit-propolis-light-ampoule-30ml.jpg,풀핏 프로폴리스 라이트 앰플,Full Fit Propolis Light Ampoule,,KR,30ml,,,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176536,official_brand_kr_mall,false,false,,needs_review,false
COSRX,Advanced Snail 92 All In One Cream,cosrx-advanced-snail-92-all-in-one-cream-100g,moisturizer,face,"달팽이점액여과물, 베타인, 카프릴릭/카프릭트라이글리세라이드, 세테아릴올리베이트, 솔비탄올리베이트, 세테아릴알코올, 카보머, 알지닌, 다이메티콘, 소듐폴리아크릴레이트, 페녹시에탄올, 소듐하이알루로네이트, 스테아릭애씨드, 알란토인, 판테놀, 잔탄검, 에틸헥산다이올, 아데노신",스네일 92 올인원 크림. COSRX 한국 공식몰 상품정보 기준. 단지/튜브형 옵션 페이지.,cosrx-advanced-snail-92-all-in-one-cream-100g.jpg,어드벤스드 스네일 92 올인원 크림,Advanced Snail 92 All In One Cream,,KR,100g,,,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=202,official_brand_kr_mall,false,false,,needs_review,false
COSRX,Ultra-Light Invisible Sunserum SPF50+ PA++++,cosrx-ultra-light-invisible-sunserum-50ml,sunscreen,face,"알로에베라잎수, 다이에틸헥실석시네이트, 프로판다이올, 정제수, 드로메트리졸트리실록산, 에칠헥실트리아존, 나이아신아마이드, 디에칠아미노하이드록시벤조일헥실벤조에이트, 테레프탈릴리덴디캠퍼설포닉애씨드, 1,2-헥산다이올, 베헤닐알코올, 메틸트라이메티콘, 소듐폴리아크릴로일다이메틸타우레이트, 버지니아풍년화잎수, 트로메타민, 폴리아크릴레이트크로스폴리머-6, 아라키딜알코올, 카프릴릴글라이콜, 에틸헥실글리세린, 아라키딜글루코사이드, 소듐메타포스페이트, 아데노신, 토코페롤, 소듐하이알루로네이트, 알란토인, 시트릭애씨드, 포타슘솔베이트",울트라 라이트 인비저블 선세럼. COSRX 한국 공식몰 상품정보 기준.,cosrx-ultra-light-invisible-sunserum-50ml.jpg,울트라 라이트 인비저블 선세럼,Ultra-Light Invisible Sunserum SPF50+ PA++++,,KR,50ml,,,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177686,official_brand_kr_mall,false,false,,needs_review,false
COSRX,Full Fit Propolis Light Cream,cosrx-full-fit-propolis-light-cream-65g,moisturizer,face,"정제수, 부틸렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 해바라기씨오일, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 프로폴리스추출물(6,793 ppm), 세테아릴올리베이트, 세테아릴알코올, 비즈왁스, 솔비탄올리베이트, 카보머, 알지닌, 알란토인, 솔비탄아이소스테아레이트, 폴리솔베이트60, 잔탄검, 결명씨추출물, 로얄젤리추출물, 꿀추출물",프로폴리스 라이트 크림. COSRX 한국 공식몰 상품정보 기준.,cosrx-full-fit-propolis-light-cream-65g.jpg,풀핏 프로폴리스 라이트 크림,Full Fit Propolis Light Cream,,KR,65g,,,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176505,official_brand_kr_mall,false,false,,needs_review,false
