slug,retailer_name,retailer_type,retailer_country,ships_to_countries,purchase_url,price,currency,stock_status,verification_status,is_official,active,verified_at,last_checked_at,stock_evidence,notes
cosrx-low-ph-good-morning-gel-cleanser-150ml,COSRX Official KR Mall,brand_official,KR,KR,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=222,7920,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절/구매불가 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-full-fit-propolis-synergy-toner-280ml,COSRX Official KR Mall,brand_official,KR,KR,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176488,18500,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-the-niacinamide-15-serum-20ml,COSRX Official KR Mall,brand_official,KR,KR,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177564,20800,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-full-fit-propolis-light-ampoule-30ml,COSRX Official KR Mall,brand_official,KR,KR,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176536,20000,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-advanced-snail-92-all-in-one-cream-100g,COSRX Official KR Mall,brand_official,KR,KR,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=202,23000,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-ultra-light-invisible-sunserum-50ml,COSRX Official KR Mall,brand_official,KR,KR,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177686,13000,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
cosrx-full-fit-propolis-light-cream-65g,COSRX Official KR Mall,brand_official,KR,KR,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176505,16100,KRW,in_stock,unverified,true,true,,2026-07-18T10:00:00+09:00,"판매가·옵션 표시, 품절 문구 없음 (2026-07-18)",review_pending — never auto-verified
