slug,image_filename,source_image_url,source_page_url,is_official_source,is_primary,sha256,bytes,checked_at
cosrx-low-ph-good-morning-gel-cleanser-150ml,cosrx-low-ph-good-morning-gel-cleanser-150ml.jpg,http://www.cosrx.co.kr/shopimages/cosrx/019000000591.jpg?1714461419,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=222,true,true,04a6481ceb4d8c20c103da930b6658ecca94ea264bb261e749ea6692d87813b0,262660,2026-07-18T10:00:00+09:00
cosrx-full-fit-propolis-synergy-toner-280ml,cosrx-full-fit-propolis-synergy-toner-280ml.jpg,https://www.cosrx.co.kr/shopimages/cosrx/019000000661.jpg?1703729427,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176488,true,true,da46057c755b654c391adbe40f100c8be292dfe67c93a01d19e051b455a38942,282594,2026-07-18T10:00:00+09:00
cosrx-the-niacinamide-15-serum-20ml,cosrx-the-niacinamide-15-serum-20ml.jpg,https://www.cosrx.co.kr/shopimages/cosrx/019000000640.jpg?1722235788,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177564,true,true,6cbfc3fc73334b388ad22653b471ea4a0a00bf1593f6badde625185fbc1b75a0,225796,2026-07-18T10:00:00+09:00
cosrx-full-fit-propolis-light-ampoule-30ml,cosrx-full-fit-propolis-light-ampoule-30ml.jpg,https://www.cosrx.co.kr/shopimages/cosrx/019000000658.jpg?1703730437,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176536,true,true,14c574c2460d71593657902a222f184646c51477aa98508bb42dc7efa11f4327,270093,2026-07-18T10:00:00+09:00
cosrx-advanced-snail-92-all-in-one-cream-100g,cosrx-advanced-snail-92-all-in-one-cream-100g.jpg,http://www.cosrx.co.kr/shopimages/cosrx/019000000650.jpg?1711329356,http://www.cosrx.co.kr/shop/shopdetail.html?branduid=202,true,true,c6ab13a293ed46c4481f5a238bf38b07764dca9d8e645f8a60d645ca99a5b4ac,425598,2026-07-18T10:00:00+09:00
cosrx-ultra-light-invisible-sunserum-50ml,cosrx-ultra-light-invisible-sunserum-50ml.jpg,https://www.cosrx.co.kr/shopimages/cosrx/019000000670.jpg?1734659106,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177686,true,true,ddaa30ebe91c66c7b469f88e6e192844c6321467a0739770a5b92ec82c51a22c,211531,2026-07-18T10:00:00+09:00
cosrx-full-fit-propolis-light-cream-65g,cosrx-full-fit-propolis-light-cream-65g.jpg,https://www.cosrx.co.kr/shopimages/cosrx/019000000606.jpg?1703730335,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176505,true,true,ffdb78e28d1281c743c250e2059b733203e50a7b0bf976683f42f563ff56c932,284458,2026-07-18T10:00:00+09:00
